time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
77.8129858971,Inactive,2228.0,-2180.0,5885.0
77.8339259624,Inactive,2577.0,-2577.0,5558.0
77.8538000584,Inactive,2703.0,-2451.0,5015.0
77.8746116161,Inactive,3012.0,-1965.0,4765.0
77.8947720528,Inactive,3197.0,-528.0,5714.0
77.91590452189999,Inactive,3167.0,116.0,5833.0
77.93614053729999,Inactive,2478.0,1273.0,3015.0
77.9561784267,Inactive,2324.0,1568.0,223.0
77.9777040482,Inactive,1485.0,1701.0,-2301.0
77.9985954762,Inactive,6.0,1005.0,-5745.0
78.0176725388,Inactive,-808.0,771.0,-6623.0
78.0389988422,Inactive,-3013.0,1399.0,-6719.0
78.058570385,Inactive,-1652.0,1708.0,-302.0
78.0791277885,Inactive,-372.0,-60.0,3554.0
78.100675106,Inactive,304.0,-1274.0,6225.0
78.1199893951,Inactive,809.0,-514.0,8604.0
78.1406474113,Inactive,507.0,-165.0,7523.0
78.16101312640001,Inactive,261.0,-259.0,5691.0
78.1820294857,Inactive,-251.0,487.0,2933.0
78.2031779289,Inactive,-59.0,559.0,2513.0
78.2223565578,Running,703.0,-298.0,2002.0
78.2438497543,Running,382.0,-663.0,1326.0
78.26369357109999,Running,-80.0,-647.0,12.0
78.2838029861,Running,481.0,-343.0,-3504.0
78.304418087,Running,1215.0,108.0,-5051.0
78.3250813484,Running,1539.0,950.0,-6503.0
78.3462095261,Running,2975.0,1676.0,-8484.0
78.3673977852,Running,3921.0,1896.0,-8634.0
78.38623929020001,Running,3895.0,2683.0,-8614.0
78.4072568417,Running,1993.0,4251.0,-7179.0
78.4271671772,Running,-1748.0,6569.0,-4063.0
78.4482307434,Running,-4896.0,2744.0,2768.0
78.4687590599,Running,-3312.0,2982.0,5808.0
78.4886143208,Running,-3287.0,3426.0,7099.0
78.5090785027,Running,-2369.0,5452.0,5810.0
78.53038454060001,Running,-2283.0,5905.0,4009.0
78.5500166416,Running,-2557.0,5027.0,2654.0
78.5712480545,Running,-1582.0,1648.0,4154.0
78.5911195278,Running,-1197.0,840.0,5808.0
78.6118400097,Running,-1063.0,635.0,6189.0
78.6329748631,Running,-1218.0,1327.0,4321.0
78.6531050205,Running,-1326.0,1744.0,2852.0
78.6730041504,Running,-1063.0,1721.0,1377.0
78.6893472672,Running,-265.0,978.0,-743.0
78.7113161087,Running,-624.0,765.0,-901.0
78.7313547134,Running,-1653.0,351.0,-636.0
78.750847578,Running,-2181.0,413.0,-180.0
78.7714807987,Running,-2617.0,1022.0,356.0
78.7917039394,Running,-3149.0,2372.0,1853.0
78.8124294281,Running,-3146.0,2108.0,2468.0
78.8339102268,Running,-2785.0,1461.0,2605.0
78.85314035420001,Running,-1959.0,669.0,2156.0
78.87367081640001,Running,-1867.0,785.0,1601.0
78.8942172527,Running,-1809.0,1056.0,985.0
78.9146265984,Running,-1518.0,1819.0,588.0
78.9364626408,Running,-1595.0,2001.0,948.0
78.9555616379,Running,-1803.0,1838.0,771.0
78.9766583443,Running,-1908.0,1757.0,334.0
79.0019125938,Running,-1887.0,1772.0,-44.0
79.0210521221,Running,-1891.0,1794.0,399.0
79.04230880739999,Running,-1902.0,1908.0,1012.0
79.0643980503,Running,-1868.0,1938.0,1446.0
79.0826191902,Running,-1689.0,1614.0,1404.0
79.1037611961,Running,-1478.0,1439.0,1263.0
79.123619318,Running,-954.0,1500.0,1043.0
79.1441299915,Running,-946.0,1617.0,964.0
79.1650922298,Running,-986.0,1738.0,801.0
79.1857664585,Running,-1220.0,2168.0,719.0
79.2056148052,Running,-1311.0,2309.0,772.0
79.22584986689999,Running,-1289.0,2329.0,853.0
79.2464337349,Running,-1010.0,2151.0,811.0
79.2690324783,Running,-961.0,2078.0,853.0
79.28732538220001,Running,-1004.0,2019.0,1014.0
79.3088610172,Running,-1384.0,1890.0,808.0
79.3288123608,Running,-1532.0,1879.0,718.0
79.3486721516,Running,-1461.0,2051.0,960.0
79.3700580597,Running,-1265.0,2123.0,1233.0
79.3898429871,Running,-1067.0,2176.0,1520.0
79.4063677788,Running,-867.0,2252.0,1636.0
79.4265573025,Running,-1019.0,2211.0,1430.0
79.44714593890001,Running,-1218.0,2123.0,1122.0
79.4683818817,Running,-1443.0,2322.0,713.0
79.4881036282,Running,-1450.0,2540.0,713.0
79.5085859299,Running,-1401.0,2724.0,811.0
79.5295243263,Running,-1315.0,2749.0,1184.0
79.549516201,Running,-1353.0,2522.0,1177.0
79.5707454681,Running,-1461.0,2335.0,1035.0
79.5903878212,Running,-1321.0,2027.0,482.0
79.611651659,Running,-1213.0,2054.0,508.0
79.63192892069999,Running,-1505.0,1983.0,1112.0
79.6518599987,Running,-1557.0,2046.0,1181.0
79.6726016998,Running,-1441.0,2132.0,1104.0
79.6927952766,Running,-1405.0,2442.0,934.0
79.71398139,Running,-1482.0,2696.0,1084.0
79.7343845367,Running,-1540.0,2889.0,1322.0
79.7542870045,Running,-1717.0,2871.0,1484.0
79.7751400471,Running,-1785.0,2794.0,1248.0
79.7955360413,Running,-1922.0,2760.0,926.0
79.8157420158,Running,-2358.0,2839.0,563.0
